Symbol,Last,Change,Vol,Bid,Ask,Open Int.,Strike,Symbol,Last,Change,Vol,Bid,Ask,Open Int.
quote,132.9,0,5,153.1,165.8,5,1940,quote,2.7,-0.8,62,2.65,2.85,956
quote,0,0,0,147,159.7,,1945,quote,2.83,-0.27,48,2.85,3,289
quote,152.23,5.53,1,149,151.2,"7,012",1950,quote,3.2,-0.1,238,3,3.2,"15,135"
quote,138.09,37.39,1,144.5,146.6,7,1955,quote,3.6,-0.8,32,3.2,3.4,"4,615"
quote,0,0,0,132,144.9,,1960,quote,3.95,-0.05,56,3.4,3.7,"7,842"
quote,0,0,0,127.3,140.7,,1965,quote,2.55,-0.25,25,1.3,1.5,25
quote,126.68,3.68,5,128.2,130.3,13,1970,quote,3.89,-0.59,"1,035",3.9,4.1,"6,531"
quote,115.24,-5.11,2,123.4,125.5,10,1975,quote,2.55,0.1,3,1.55,1.7,"3,136"
quote,116.5,0,10,114.9,122.8,10,1980,quote,4.43,-0.97,40,4.5,4.7,932
quote,0,0,0,112.9,114.9,,1985,quote,3,-0.5,150,3,3.2,"1,189"
quote,90.9,-33.1,1,111.3,113.3,65,1990,quote,5,-0.5,112,5.2,5.5,522
quote,0,0,0,99.8,107.9,,1995,quote,5.5,-0.6,70,5.6,5.9,716
quote,100,5.95,5,99,101.3,16,2000,quote,3.93,-0.37,"3,947",3.8,4,"31,030"
quote,93.6,1.91,7,92.2,95,"15,837",2005,quote,6.2,-0.9,42,6.4,6.7,208
quote,99.33,7.28,8,93.2,95.1,110,2010,quote,1.55,-0.5,685,1.25,1.9,"14,317"
quote,0,0,0,84.4,86.4,,2015,quote,5,-0.6,"2,222",4.9,5.1,"1,186"
quote,77.15,-3,5,78.4,80.6,8,2020,quote,8.3,-0.15,511,8,8.4,"5,411"
quote,0,0,0,75.5,77.2,,2025,quote,1.5,-0.7,51,1.5,1.65,228
quote,0,0,0,70.9,72.6,,2030,quote,9.3,-1,"2,883",9.4,9.7,771
quote,70.3,0.1,2,71.5,73.1,585,2035,quote,7.05,-0.15,175,6.9,7.3,958
quote,65.8,-2.4,17,64.7,66.3,134,2040,quote,7.75,-0.7,367,7.6,8,"3,279"
quote,61.7,-5.16,30,60.2,62,182,2045,quote,11.6,-1,48,11.8,12.2,387
quote,52.15,-3.47,1,59.1,60.7,"9,208",2050,quote,12.5,0,845,12.7,13.1,"20,647"
quote,41.77,-11.73,9,46.2,48.2,"41,909",2055,quote,13.55,-0.87,253,13.7,14.1,"3,501"
quote,49.1,0.7,19,48.1,49.6,"1,142",2060,quote,10.6,-1.25,146,11,11.4,"1,987"
quote,40.1,0,5,41.3,42.6,5,2065,quote,12.38,-3.02,59,12,12.5,126
quote,35.5,-9.79,2,40.4,41.8,392,2070,quote,13.25,-2.45,22,13.2,13.7,"1,488"
quote,38.46,-3.14,24,36.2,37.5,"6,743",2075,quote,14.08,-1.82,23,14.5,15,"5,217"
quote,34.74,-2.25,23,32.6,33.9,"3,541",2080,quote,22.6,7,100,13.1,13.6,"2,000"
quote,34.29,-2.81,362,33.3,34.2,"5,617",2085,quote,22.2,-2.2,434,21.6,22.2,881
quote,30.65,-3.35,259,30,30.8,"2,015",2090,quote,23.4,-2.43,409,23.3,24,"2,133"
quote,21.6,-2.7,26,20.1,20.8,21,2095,quote,14,-1.05,"11,146",13.9,15.1,"20,723"
quote,24.9,-3.6,"3,454",23.9,24.6,"15,926",2100,quote,22.95,-0.3,"2,722",22.8,23.5,"4,806"
quote,17.65,-2.71,206,17.4,17.9,575,2105,quote,32.35,-13.1,9,24.9,25.8,27
quote,18.5,-2.83,150,18.4,19,"4,546",2110,quote,32.52,-3.13,4,27.3,28.2,131
,,,,,,,2115,quote,39.97,-1.69,10,29.5,30.9,76
quote,13.47,-2.68,"1,060",13.5,14.1,"10,340",2120,quote,32.67,-11.03,6,32.3,33.8,17
quote,11.7,-2.1,55,11.2,11.6,"14,242",2125,quote,39.1,-3.4,2,39,40.4,416
quote,2.9,-2.7,449,2.5,3.3,"27,126",2130,quote,0,0,0,36.8,38.5,
quote,3.65,-1.75,7,3.5,3.9,57,2135,quote,37.95,0.65,2,38.5,41,83
quote,6.75,-1.98,416,6.4,6.7,"4,850",2140,quote,104.1,0,4,48.9,50.5,4
quote,5.25,-1.55,60,5.1,5.4,"2,898",2145,quote,54.05,-2.52,30,52.1,54.1,26
quote,0.25,-0.2,"1,333",0.2,0.3,"14,815",2150,quote,0,0,0,50.2,58.1,
quote,3.5,-1.3,173,3.1,3.4,"5,027",2155,quote,0,0,0,58.1,60.4,
quote,2.5,-1.45,501,2.4,2.6,"3,811",2160,quote,66.3,-2.5,10,64.3,66.5,11
quote,2.05,-1.05,197,1.9,2.1,"5,009",2165,quote,119,2.38,1,66.4,74,1
quote,1.6,-0.75,82,1.45,1.6,"1,994",2170,quote,75.43,-1.32,1,71.6,74.8,33
quote,0.65,-0.4,"10,643",0.65,0.75,"19,203",2175,quote,0,0,0,74.3,82.4,10
quote,0.6,-0.25,14,0.55,0.65,817,2180,quote,0,0,0,80.3,88.1,
quote,0.82,-0.23,46,0.75,0.85,961,2185,quote,0,0,0,84.2,92.2,
quote,0.35,-0.15,4,0.25,0.35,24,2190,quote,0,0,0,89.5,97.8,
quote,0.54,-0.11,23,0.55,0.65,640,2195,quote,0,0,0,96.5,99.7,
quote,0.45,-0.15,"2,698",0.45,0.55,"19,728",2200,quote,168.65,-9.3,1,99.3,107.6,1
quote,0.1,-0.05,61,0.05,0.1,121,2205,quote,0,0,0,103.6,112.1,
quote,0.45,-0.1,9,0.35,0.45,267,2210,quote,0,0,0,109.2,117.7,
quote,0.3,0,35,0.2,0.3,711,2215,quote,164.68,6.78,4,116.5,119.4,10
quote,0.25,-0.05,68,0.2,0.3,"1,191",2220,quote,0,0,0,121.5,124.6,
quote,0.2,-0.15,52,0.25,0.35,"6,872",2225,quote,0,0,0,120.8,134.6,
quote,0.15,-0.1,50,0.05,0.35,519,2230,quote,0,0,0,126.9,139.7,
,,,,,,,2235,quote,0,0,0,131.6,144.6,
quote,0.25,-0.1,374,0.2,0.3,641,2240,quote,0,0,0,136.5,149.4,
,,,,,,,2245,quote,0,0,0,140.9,154.5,
quote,0.26,0.01,1,0.2,0.25,"1,942",2250,quote,156.25,0,1,144.9,157.8,1
quote,0.05,-0.05,815,0.05,0.1,639,2260,quote,0,0,0,154.8,167.7,
quote,0.1,-0.2,1,0.1,0.2,"1,094",2275,quote,0,0,0,171.5,184,
quote,0.1,-0.1,186,0.1,0.15,"5,681",2300,quote,0,0,0,196.4,208.9,
quote,0.05,-0.25,45,0.05,0.05,664,2325,quote,232.6,0,4,221.3,234.7,4
quote,0.1,0.05,449,0.05,0.1,"8,417",2350,quote,0,0,0,243.2,262.9,
quote,0.05,-0.02,82,0.05,0.2,"6,135",2400,quote,0,0,0,292.9,311.7,
quote,0.05,0,20,0.05,0.05,20,2450,quote,0,0,0,343.7,363.3,
quote,0.05,-0.2,170,0.05,0.05,"1,031",2500,quote,0,0,0,393.6,413.2,
