Symbol,Last,Change,Vol,Bid,Ask,Open Int.,Strike,Symbol,Last,Change,Vol,Bid,Ask,Open Int.
quote,5.43,-1.46,2,5.10 ,5.80 ,"19,126",2225 ,quote,0,0,0,143.50 ,145.50 ,
quote,3.59,-0.93,5,3.20 ,3.80 ,298,2240 ,,,,,,,
quote,4.2,-1.29,95,4.10 ,4.40 ,"1,164",2250 ,quote,186.36,0,1,158.00 ,172.20 ,1
,,,,,,,2260 ,quote,0,0,0.00 ,171.70 ,174.60 ,
quote,1.25,-0.55,"1,001",1.00 ,1.50 ,"10,226",2275 ,,,,,,,
,,,,,,,2280 ,quote,0,0,0.00 ,190.80 ,193.50 ,
,,,,,,,2300 ,quote,0,0,0.00 ,205.10 ,219.60 ,
,,,,,,,2325 ,quote,530,264.1,1.00 ,235.00 ,238.10 ,1 
quote,0.55,-0.15,10,0.30 ,0.40 ,"1,714",2350 ,quote,0,0,0,250.70 ,271.50 ,
quote,0.4,-0.35,15,0.05 ,0.45 ,"1,314",2375 ,quote,0,0,0,284.70 ,287.80 ,
quote,0.25,-0.37,24,0.15 ,0.25 ,123,2400 ,quote,0,0,0,300.30 ,321.20 ,
quote,0.25,0.05,3,0.05 ,0.20 ,"1,506",2450 ,,,,,,,
quote,0.1,-0.05,200,0.15 ,0.15 ,"11,950",2500 ,,,,,,,
quote,0.1,-0.1,45,0.05 ,0.10 ,537,2600 ,quote,567.48,3.3,1,509.10 ,511.90 ,1
,,,,,,,2700 ,quote,0,0,0.00 ,599.40 ,620.40 ,
